text;question;label
"Info-Veranstaltung Technik für Betriebswirte Das Angebot richtet sich insbesondere an Fach- und Führungspersonal mit einer betriebswirtschaftlichen Ausbildung, die im Rahmen ihrer beruflichen Tätigkeit auch mit technischen Sachverhalten konfrontiert sind. Dazu zählen beispielsweise Mitarbeiterinnen und Mitarbeiter aus den Abteilungen Einkauf, Verkauf, Logistik, Controlling, Qualitätsma-nagement oder Produktentwicklung.

Viele Entscheidungen in der heutigen hochvernetzten Berufswelt können nur dann fundiert getroffen werden, wenn auch die technischen Aspekte berücksichtigt werden. Zur ganzheitlichen Beurteilung betrieblicher Entscheidungsprozesse bedarf es ingenieurtechnische Grundlagen. Diese werden in 6 ausgewählten Modulen vermittelt.

Während der Veranstaltung haben Interessenten die Möglichkeit sich über alle Details des Weiterbildungsangebotes zu informieren und sich vor Ort einen persönlichen Eindruck zu verschaffen. Zudem besteht ausreichend Zeit für Fragen und Antworten.

Datum & Uhrzeit:
Mittwoch, 24.04.2013, 18:30 Uhr

Raum:
A103, 1. Obergeschoss, Gebäude A (Denkfabrik), Hochschule Kempten

Anmeldung:
Die Veranstaltung ist öffentlich und kostenfrei. Eine Anmeldung ist nicht erforderlich.";isMusic;0
"Klavier-Rezital | Bach, Brahms, Beethoven Herbert Schuch hat sich in den letzten Jahren vor allem mit seinen inhaltlich ausgereiften Programmkonzepten einen Namen gemacht. 2012 und 2013 wurde er jeweils mit einem ECHO Klassik ausgezeichnet. In Gifhorn präsentiert er ein Rezital mit Werken von Johann Sebastian Bach, Johannes Brahms und Ludwig van Beethoven.

Herbert Schuch KLAVIER";isMusic;1
"Yu-Gi-Oh! Christmas Charity Cup am 12.12.2015 im Game IT Ort:
Game IT Marburg, Biegenstraße 37, 35037 Marburg

Zeit:
Samstag, 12.12.2015, 12:00-18:00 Uhr, Advanced

Anmeldung:
Anmeldungen am Turniertag ca. 30 min vor Spielbeginn!
Um Voranmeldungen wird gebeten!
Anmeldungen ausschließlich über unser Forum unter http://www.gamersit.de/Forum/index.php?page=Thread&threadID=3558

Teilnehmer:
Max. 37 Plätze

Startgebühr:
Kostenlos – Jeder Teilnehmer muss 5 Konservendosen
( Mindestinhalt 400ml/g, nur Lebensmittel keine Tiernahrung, kein Alkohol ) mitbringen !!

Preise:
Für jede gesammelten Dose am Turnier gibt es ein Astral Pack am Ende des Turniers.
Spieler, die am Ende des Turniers keine Dosen mehr haben bekommen ein Astral Pack als Trostpreis.
Die gesammelten Dosen werden von uns an die Tafel gespendet !!!

Spielablauf:
Es werden 5 Runden im Schweizer System gespielt. Das heißt, dass ihr vom Anfang bis zum Ende des Turniers mitspielt und bei einer Niederlage nicht ausscheidet. Jede Runde setzt ihr eine Dose als Einsatz, der Gewinner erhält die Dose des Verlierers.
Am Ende des Turniers kann jeder Spieler seine gesammelten Dosen gegen die gleiche Anzahl Astral Packs eintauschen.

Format:
Advanced

Material:
Jeder Teilnehmer hat seine COSSy-Nummer mitzubringen und einen Stift.

Teilnahmebedingung:
Mit der Teilnahme an oder dem Aufenthalt bei Veranstaltungen von Game IT Spielwaren gewährt der Spieler dem Game IT das Recht, den Namen, Abbild, Deckliste sowie Spielweise im Zusammenhang mit dieser Veranstaltung zu nutzen und zu verarbeiten.

Organisation:
Game IT Marburg, Biegenstraße 37, 35037 Marburg
Tel.: 06421-1862301 Email: info@gamersit.de Web: www.gamersit.de";isMusic;0
"Zweites Skat-Turnier 2016 Am Sonntag, 05.06.2016
Wird unser Zweites Skat-Turnier 2016 ab 10 Uhr gespielt.
Es gibt wieder Einzelpreise für die ersten 6 Plätze und mittags zwischen den Serien einen Imbiss.
Gespielt werden 2 Serien!
Wir werden in jedem Quartal des Jahres ein Turnier spielen. 
Am Jahresende wird dann zusätzlich ein Gesamt-Sieger für 2016 aus allen 4 Turnieren gekürt!
Es lohnt sich also am Ball zu bleiben.
Die weiteren Termine werden immer mind. 4 Wochen vorher bekannt gegeben!
Startgebühr 10,- €, zu zahlen bei Anmeldung.
Viel Spaß und beste Erfolge!";isMusic;0
"Pavlovs Kwiz Einlass 1900
Beginn 2000";isMusic;0
"Maibock-Anstich Die CSU Hallbergmoos-Goldach lädt die Bevölkerung herzlich zu ihrem 1. Maibock-Anstich ein.

Neben dem süffigen Maibock vom Hofbräuhaus München und bayerischen Schmankerln gibt es wie beim Münchner Original eine kabarettistische Maibockrede – von keinem Geringeren als unserem Bundestagskandidaten Erich Irlstorfer. Für die musikalische Unterhaltung sorgen die Holledauer Hopfareisser.

Einlass ab 18:30 Uhr!

Für einen garantierten Sitzplatz bitten wir um Anmeldung entweder gleich hier, auf unserer Internetseite www.csu-hallbergmoos.de oder per E-Mail unter maibock@csu-hallbergmoos.de.";isMusic;0
"HALBE PREISE Auch diesen Donnerstag ist Party angesagt.
--> Halbe Preise auf alles
--> Eintritt frei
Wir freuen uns wie immer auf dich und einen tollen Abend.
Das Point-Team";isMusic;0
JuGo - Hör auf die Stimme! MARYS;isMusic;0
"ROCK IM GLORIA 2014 > Charity-Konzert mit den Bands Erich Stoll aka. Solomon Seed, Mr. Winterbottom und"" The Trek ""zugunsten des Deutschen Kinderschutzbundes Landau-SÜW e.V. 

Datum/Uhrzeit: Freitag, 28. November 2014/ 20 Uhr (Einlass: 19 Uhr)

Ort: Gloria Kulturpalast, Industriestr.3-5, 76829 Landau

Mitveranstalter: Scuzzlebutt Ev

Tickets: 5 Euro im Vorverkauf, 7 Euro an der Abendkasse

Vorverkaufsstellen:

- Fourseasons Landau, Ostbahnstr.3, 76829 Landau (wochentags 10-18.30 Uhr, samstags 10-16 Uhr)

- Gloria Kulturpalast Landau, Industriestr.3-5, 76829 Landau (tägl. ab 17 Uhr)

- ASta-Sekretariat der Universität Koblenz- Landau / Campus Landau, Fortstr.7, 76829 Landau (ab Oktober) 

Mehr Infos zu den Bands gibt es unter: http://www.solomonseed.com/  
http://www.mr-winterbottom.com/ 
http://www.the-trek.eu/

Der Eintritt ist ab 16 Jahren.";isMusic;1
"Landscape Preludes - Solo Piano Der neuseeländische Pianist Stephen De Pledge präsentiert seine mit ""Landsapce Preludes"" betitelte Sammlung von Klavierstücken aus seinem Heimatland. Er hatte zahlreiche neuseeländische Komponisten eingeladen, ein Werk beizusteuern, das sich frei mit der Thematik ""Landschaft"" auseinandersetzt. So erklingen in diesem Konzert zwölf Preludes, die nicht nur ein Licht auf die neuseeländische Komponistenszene geben sondern womöglich auch ein wenig neuseeländisches Empfinden zum Ausdruck bringen.

Einführung: 19:15 Uhr";isMusic;1
"????? LCC - dritte Abendveranstaltung ????? Einlass.................... 18:30 Uhr
Programmbeginn..... 19:30 Uhr
Kartenbestellung...... 03744 - 32856

Vorverkauf:
3.11.2015 19.00 Uhr Schützenhaus
6.11.2015 19.00 Uhr Schützenhaus";isMusic;0
"Im Labyrinth des Schweigens Deutschland 1958 – Wiederaufbau, Wirtschaftswunder. Johann Radmann (Alexander Fehling) ist seit kurzem Staatsanwalt und muss sich wie alle Neulinge um Verkehrsdelikte kümmern. Als der Journalist Thomas Gnielka (André Szymanski) im Gerichtsgebäude für Aufruhr sorgt, wird er hellhörig: Ein Freund Gnielkas hat einen Lehrer als ehemaligen Auschwitz-Wärter erkannt, doch niemand will seine Anzeige aufnehmen.

Gegen den Willen seiner direkten Vorgesetzten, beginnt Radmann sich mit dem Fall zu beschäftigen – und stößt auf ein Geflecht aus Verdrängung, Verleugnung und Verklärung. Von „Auschwitz“ haben in diesen Jahren die einen nie gehört, und die anderen wollen es so schnell wie möglich vergessen. Nur Generalstaatsanwalt Fritz Bauer (Gert Voss) unterstützt seine Neugier, er selbst möchte die dort begangenen Verbrechen seit langem an die Öffentlichkeit bringen, für eine Anklage fehlen ihm jedoch die Beweise. Doch was er schließlich ans Licht bringt, wird das Land für immer verändern ...

http://www.unifilm.de/";isMusic;0
"AUSVERKAUFT: Georg Ringsgwandl:  Mehr Glanz! – Neues Bühnenprogramm 2013/14 | Neue CD 
„…ein bayerischer Bob Dylan“, schrieb die Süddeutsche Zeitung schon vor 20 Jahren. 
Zehn Alben und fünf Musiktheaterstücke später gilt er als „einer der ganz Großen“ (Der Tagesspiegel, Berlin). Seine Konzerte sind immer noch abgedrehte Vorstellungen, inzwischen aber musikalisch ausgeschlafene Programme: „Ein Paradiesvogel, der immer gekonnter fliegt.“ (Hannoversche Allgemeine) Die neuen Interpretationen seiner alten Songs beweisen die Entwicklung des einstigen Kleinkünstlers zum großen Popmusiker, sagt die SZ heute. Daran sind auch die jungen Musiker beteiligt, die den Sound der Band mit Stilelementen des 21. Jahrhunderts bereichern. 
www.ringsgwandl.com

Vorverkauf: 24,- (+Geb.) 
Abendkasse: 28,- 
Ermäßigte Tickets: 14,- (+ Geb.)
Bei Vorlage eines entsprechenden Ausweises erhalten Schüler und Studenten, FSJler, BFDler, Azubis und Stadtpassinhaber Karten zum ermäßigten Eintrittspreis. Das Kontingent ermäßigter Karten ist begrenzt.
Ausweise bitte am Eintritt bereithalten.

Bestuhlt!";isMusic;1
4. AC/BC mit DC;isMusic;0
Rails Girls Treffen Mai Wir treffen uns auch an diesem 4. Mittwoch im Monat in der kopiba zum geselligen zusammenprogrammieren. Kommt vorbei, stellt den Coaches alle Eure Fragen und genießt Cocktails, Softdrinks und Kaffeespezialitäten.;isMusic;0
"Girls Gone Wild GIRLS GONE WILD


House, Black, Pop & Ohrwürmer by DJ D-Mex


Aufgepasst Ladies and Gentleman


* Sektempfang für alle unsere Gäste bis 00:00 Uhr
* 10 € Getränkegutschein für alle Ladies bis 01:00 Uhr
* Hot Privilege Boys
* Sexy Fruits and Endless Fun  

***Nur HEUTE Flasche Champagner Moet 0,75l / 60,- €***


Getreu dem Motto ""love your night and celebrate"" wird Heute auf eine extravagante und erstklassige Musik-Mixtur gesetzt, die sich von dicken Black-Beats über verruchte House-Leckerbissen bis zu den unvergesslichsten Club-Classics der Szene zieht und wie ein geladener Spannungsbogen durch die Nacht begleitet. Schick, extravagant und heiß gehts aufs Parkett und gefeiert wird wild und ausgelassen unter Gleichgesinnten die ganze Nacht! Ladies das ist euer Freitag, und Boys eurer ebenso, Ladies für euch ein wenig mehr ;) !!!

Für den regelrechten Ausnahmezustand auf dem Dancefloor sorgt DJ D-Mex

Freut euch auf eine unvergessliche Nacht im Five Club";isMusic;1
"3 Area Latin Party Jeden Samstag 3 Area Latin Party mit den besten DJ´s der Stadt!

Area 1: Salsa cubana y mas mit DJ Timbanator
Area 2: Sensual Bachata / Kizomba mit DJ Daniel
Area 3: Salsa NY / LA / Puerto rican... Latino total mit DJ Claudio

Für alle, die Salsa, Bachata und Kizomba einmal unverbindlich kennenlernen wollen, bieten wir vor der Party Schnupperstunden an:
20.15 Uhr: Bachata 
21.00 Uhr: Salsa
Also vorbeikommen und mitmachen!!";isMusic;1
"R²-Buchvorstellung: Bernhard Fischer - Johann Friedrich Cotta. Verleger - Entrepreneur - Politiker Eine Kooperationsveranstaltung mit der Goethe-Gesellschaft Siegburg und der Goethe-Gesellschaft Bonn.

Johann Friedrich Cotta war ein klassischer selfmade man, ausgestattet mit Spürsinn für das Zukunftsweisende, der virtuos die Chancen einer Umbruchzeit nutzte. Aus dem kleinen Tübinger Universitätsverlag machte er den größten Universalverlag seiner Zeit. Markenzeichen waren die Klassiker Goethe und Schiller, aber auch die Augsburger Allgemeine Zeitung. Sein Genie erfasste den Zeitgeist und die zukunftsmächtigen Ideen, die sein Verlag ins Publikum brachte, die er auf seinen Gütern und in seinen Fabriken beispielgebend praktizierte und die er als Politiker und Diplomat durchsetzen suchte.

Bernhard Fischer, geboren 1956, war von 1992 bis 2007 Leiter des Cotta-Archivs im Deutschen Literaturarchiv Marbach. Seit 2007 ist er Direktor des Goethe- und Schiller-Archivs in der Klassik Stiftung Weimar. Arbeitsschwerpunkte sind die Literatur des 18.-20. Jahrhunderts sowie die Verlags- und Buchhandelsgeschichte der Goethezeit.
 
Preis: 8,- Euro";isMusic;0
Rock gegen Rechts in Hagen;isMusic;1
"menu rapide Freitag ~ Vendredi

Hummerschaumsüppchen 


Paniertes Schollenfilet
auf hausgemachten Kartoffelsalat

Limetten-Joghurtcreme";isMusic;0
"Weiberfasching Live Strip, Narreninsel Wor, Begrüßungsschnapserl
dazu jedes Getränk 3,30";isMusic;0
"Rockin' Christmas im Hard Rock Cafe Hamburg Die festliche Zeit des Jahres beginnt:
Feiert Eure Weihnachtsfeier bei uns im Hard Rock Cafe Hamburg, seid schnell und reserviert einen Platz für Euch mit Kollegen, Eurer Abteilung oder auch Firma.


Wir freuen uns auf Eure Anfrage unter sales@hardrockcafe-hh.com und stellen Euch gerne ein individuelles Angebot für Eure ""Rockin Christmas"" Weihnachtsfeier zusammen, so dass es ein unvergessliches Zusammentreffen wird!

Auch ""reguläre"" Reservierungen ohne exklusiv Veranstaltung sind im November und Dezember ab 7 Personen je nach unserer Restaurant Auslastung willkommen!


Wir stimmen schon einmal ""Jingle Bells"" an und freuen uns auf Euren Besuch!";isMusic;1
"Kommt Zusammen pres. FIRETAG! I-FIRE & Berlin Boom Orchestra Kommt Zusammen Hamburg präsentiert:

FIRETAG! 

I-FIRE & Berlin Boom Orchestra

30.04.16 - Eine neue Art des Feuers wird vom Menschen entdeckt. Nach dem FIREABEND kommt der FIRETAG!
mit Berlin Boom Orchestra aus Berlin wird das Uebel und Gefährlich in Hamburg neue Hitzerekorde erfahren.

WICHTIG: alle Fragen zur Veranstaltung bitte direkt an I-FIRE";isMusic;1
"Verkaufsoffener Sonntag „Mem Rädche ins Vringsveedel"" Das Vringsveedel mitten im Herzen von Köln lädt ein zum verkaufsoffenen Sonntag am 31.05.2015. Als Motto haben wir als fahrradfreundliches Viertel die Mobilität auserkoren und einige Angebote und Besonderheiten vorbereitet. 

Unsere Severinstraße ist beidseitig mit dem Fahrrad befahrbar, es existieren viele neue Parknadeln und das Fahrrad ist zum bevorzugten Transportmittel für Einkäufe geworden. 

Dem wollen wir mit unseren ortsansässigen Händlern nun Rechnung tragen und einen ganzen Tag dem Zweirad widmen und das breite Waren- und Dienstleistungsangebot unseres Viertels präsentieren. Dazu gibt es Mobilitäts-Trends wie E-Bikes, Lastenbikes, Gesundheitsfahrräder und Klappfahrräder zu bestaunen. 

Wer seinem Fahrrad einmal etwas Gutes tun möchte, der ist bei unserer mobilen Fahrradwerkstatt und der mobilen Fahrradwaschanlage bestens aufgehoben. 

Als besonderen Partner begrüßen wir dieses Jahr die Polizei, die sich dem Thema Fahrradsicherheit mit einem Parcour am Chlodwigplatz und Fahrradcodierung annehmen wird. 

Den Höhepunkt markiert um 15:00 Uhr eine Fahrradführung durch die Kölner Südstadt. 

Wir freuen uns auf euch!
Euer Vringsveedel";isMusic;0
"ANNA MITCHELL & Band (IRL) @ Posh Teckel - Eintritt frei Die irische Singer/Songwriterin Anna Mitchell bewegt sich selbstbewusst zwischen souligem Americana, nachdenklichen Balladen und von Countryklängen gefärbter Folkmusik. Eine Hommage an Traditionen und vorangegangene Einflüsse, die sie einzigartig und zeitgemäß interpretiert und sich damit ihren Platz in der Musikwelt schafft. 

Bekannt für ihre passionierten Liveauftritte, konnte sich Anna Mitchell in den letzten Jahren ein begeistertes Publikum, auch weit über die Grenzen ihrer Heimatstadt Cork hinaus, erspielen. Sie performte und tourte mit vielen namenhaften Künstlern. Insbesondere der gefeierte amerikanische Sänger Simone Felice (Ex-The Felice Brothers) war so begeistert, dass er Anna Mitchell im Winter 2014 auf eine 5-wöchige Europatour sowie eine 3-wöchige USA Tour im Frühjahr 2015 einlud.

Anna Mitchell begeistert nicht nur durch ihren kräftigen, gefühlvollen Gesang und ihr hervorragendes Pianospiel, sondern beherrscht zudem weitere unterschiedliche Instrumente wie Harmonium, Mellotron und Percussions, die sie auch für Aufnahmen und Konzerte anderer Künstler beisteuert. Zuletzt tourte sie mit ihrer Band John Blek & The Rats als Sängerin/Pianistin durch Deutschland und bestritt gleichzeitig als Soloact das Vorprogramm.

Ende Januar kommt die Irin zum ersten Mal auf Tour nach Deutschland und bringt ein Akustik Quartett bestehend aus John O’Connor (Akustikgitarre/Gesang), Brian Hassett (Bass) und Clare Sands (Violine/Gesang) mit auf Tour. 

BEGINN 20 Uhr 
EINTRITT FREI (Hutsammlung)";isMusic;1
"Stefanie Dietrich: Kevin kann noch nicht teilen Stefanie Dietrich am 24.2.16 bei uns zu Gast dazu leckere Burger futtern . . . Eintritt frei!

Good News! Der KEVIN in Brandenburg ist fast ausverkauft, dank der guten Werbung vom Weihnachtskumpel Frank Jesko-Idler. Vorher gibt es aber noch KEVIN und Burger: am 24. Februar im Ackerburger 2.0 in Oranienburg.";isMusic;0
"Konzert: Trio Coppo - ""Ohrlaub"" mit Latinjazz und Rhythmus pur Rolf Schawara (Drums), Carsten Tamme (Querflöte) und Gunnar Hofmann (Gitarre)
Trio Coppo, das ist Samba, Salsa, Pop und Jazz mit einem begeisternden Sound aus Gitarre, Drums, Percussion und einer Flöte, die dem Ganzen Dynamik und faszinierende Klangfarben verleiht. Dabei zieht das Trio alle Register des Latin-Jazz, kubanische Rhythmen vermischen sich mit groovigen Improvisationen. Das Repertoire von Tom Jobim, Chick Corea über Al Di Meola bis Bill Withers und eigenen Kompositionen wird mit überraschenden Arrangements und viel Spaß präsentiert - Musik, die man so noch nicht gehört hat.

www.trio-coppo.de

Eintritt: 13,00 € / ermäßigt 11,00 € / Schüler u. Studenten 5,00 € (Karten bitte reservieren)";isMusic;1
